"Reference","Value","Datasheet","Footprint","Qty","DNP","manf#"
"C1,C2,C3,C4,C5","10uF","~","Capacitor_SMD:C_0805_2012Metric","5","","KGM21AR71A106KU "
"C7,C10","10uf","https://www.mouser.mx/datasheet/2/40/AVX_X7RDielectric_777024-1853642.pdf","Capacitor_SMD:C_0805_2012Metric","2","","0805YC106KAT2A"
"C8,C14","0.1uf","https://www.mouser.mx/datasheet/2/210/WTC_MLCC_General_Purpose-1534899.pdf","Capacitor_SMD:C_0805_2012Metric","2","","LMK212SD104KG-T "
"C9","1uf","https://www.mouser.mx/datasheet/2/40/AVX_cx5r_776519-1853698.pdf","Capacitor_SMD:C_0805_2012Metric","1","","LMK212BJ105MG-T "
"D1","CHR","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1","","APT2012QGW"
"J1","Batt","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","",""
"J2","I2C","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","",""
"Q1","DMG3415U-7","https://www.diodes.com/assets/Datasheets/DMG2301L.pdf","Package_TO_SOT_SMD:SOT-23","1","","DMG3415UQ-7"
"Q2","Si2333","http://www.vishay.com/docs/66709/si2319cd.pdf","Package_TO_SOT_SMD:SOT-23","1","","SI2333CDS-T1-GE3 "
"R1","2K","~","Resistor_SMD:R_0805_2012Metric","1","","RMC1/10K2001DTP "
"R2","330","~","Resistor_SMD:R_0805_2012Metric","1","","MR08X3300FTL"
"R3,R9,R10,R12,R13,R20","100K","~","Resistor_SMD:R_0805_2012Metric","6","","CRCW0805100KJNECC"
"R4","130R","~","Resistor_SMD:R_0805_2012Metric","1","","RMC1/10K1300FTP "
"R5","820R","~","Resistor_SMD:R_0805_2012Metric","1","","ERJ-6RBD821V "
"R6","27R","~","Resistor_SMD:R_0805_2012Metric","1","","ERJ-6RED27R0V "
"R7,R8","100k","~","Resistor_SMD:R_0805_2012Metric","2","","CRCW0805100KJNECC"
"R11,R21,R22","10K","~","Resistor_SMD:R_0805_2012Metric","3","","RK73B2ATTE103J"
"U1","MCP73831-3-OT","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","MCP73831T-5ACI/OT"
"U2","MCP1700T-3102","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","Package_TO_SOT_SMD:SOT-23","1","","MCP1700T-3102E/TT"
"U3","MICS6814","","sense_board:SENSOR_MICS-6814","1","","523-MICS-6814 "
"U4","Arduino-nano-BLE-33","~","sense_board:NANO_33_Footprint_SMD_Castell","1","",""
"U5","AP3602AKTR-G1","https://www.mouser.mx/datasheet/2/115/DIOD_S_A0009645458_1-2512741.pdf","sense_board:SOT-23-6_DIO","1","","AP3602AKTR-G1"
"U6","CCS811","https://www.sciosense.com/wp-content/uploads/documents/SC-001232-DS-3-CCS811B-Datasheet-Revision-2.pdf","Package_LGA:AMS_LGA-10-1EP_2.7x4mm_P0.6mm","1","","CCS811B-JOPR5K "
"U7","DHT22","http://akizukidenshi.com/download/ds/aosong/AM2302.pdf","Sensor:ASAIR_AM2302_P2.54mm_Vertical","1","","SEN-10167"
